Mã sách,Tên sách,Lượt bán,Giá,Tác giả,Người dịch,Ngôn ngữ,Năm xuất bản,Xu hướng,Hình thức,Ratings,Thể loại,Link,Số trang
8936214272648,Góc Nhỏ Có Nắng,10000,68000,Little Rainbow,Little Rainbow,Tiếng Việt,2024-01-01,2,Bìa Mềm,5.0,Văn Học,https://www.fahasa.com/goc-nho-co-nang.html,64.0
8932000134749,Nếu Biết Trăm Năm Là Hữu Hạn - Ấn Bản Kỉ Niệm 10 Năm Xuất Bản (Tái Bản 2024),1900,159000,Phạm Lữ Ân,Phạm Lữ Ân,Tiếng Việt,2024-01-01,2,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/neu-biet-tram-nam-la-huu-han-an-ban-ki-niem-10-nam-xuat-ban-tai-ban-2024.html,263.0
8934974182375,Người Đàn Ông Mang Tên OVE (Tái Bản),2500,160000,Fredrik Backman,Hoàng Anh,Tiếng Việt,2022-01-01,2,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/nguoi-dan-ong-mang-ten-ove-tai-ban.html,452.0
8935235228351,Cây Cam Ngọt Của Tôi,2900,108000,José Mauro de Vasconcelos,"Nguyễn Bích Lan, Tô Yến Ly",Tiếng Việt,2020-01-01,2,Bìa Mềm,4.4,Văn Học,https://www.fahasa.com/cay-cam-ngot-cua-toi.html,244.0
8936213491613,Hà Thanh Hải Yến - Ngang Qua Ngõ Nhỏ Bình An,190,196000,Quất Tử Bất Toan,Lục Bích,Tiếng Việt,2024-01-01,2,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/ha-thanh-hai-yen-ngang-qua-ngo-nho-binh-an.html,324.0
8934974207917,Tiếng Gọi Chân Trời,258,95000,Nguyễn Ngọc Tư,Nguyễn Ngọc Tư,Tiếng Việt,2025-01-01,2,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/tieng-goi-chan-troi.html,152.0
8935352626320,Cô Nàng Shimotsuki Trót Phải Lòng Nhân Vật Nền - Tập 5 - Bản Giới Hạn - Tặng Kèm Bookmark + Thiệp Kỉ Niệm + Bìa Áo Limited,102,115000,"Kagami Yagami, Roha",Tifa,Tiếng Việt,2025-01-01,2,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/co-nang-shimotsuki-trot-phai-long-nhan-vat-nen-tap-5-ban-gioi-han-tang-kem-bookmark-thiep-ki-niem-bia-ao-limited.html,300.0
8935235226272,Nhà Giả Kim (Tái Bản 2020),3100,79000,Paulo Coelho,Lê Chu Cầu,Tiếng Việt,2020-01-01,2,Bìa Mềm,4.95,Văn Học,https://www.fahasa.com/nha-gia-kim-tai-ban-2020.html,227.0
8935244843545,Trường Ca Achilles,2900,156000,Madeline Miller,Madeline Miller,Tiếng Việt,2020-01-01,2,Bìa Mềm,4.95,Văn Học,https://www.fahasa.com/truong-ca-achilles.html,444.0
8935352615485,[Light Novel] Dược Sư Tự Sự - Tập 5 - Tặng Kèm Bookmark,1000,125000,"Natsu Hyuuga, Touko Shino",Hoàng Ly,Tiếng Việt,2024-01-01,1,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/light-novel-duoc-su-tu-su-tap-5-tang-kem-bookmark.html,468.0
8935095633982,Không Gia Đình - Bìa Cứng (Tái Bản 2024),492,215000,Hector Malot,Như Phong,Tiếng Việt,2024-01-01,1,Bìa Cứng,0.0,Văn Học,https://www.fahasa.com/khong-gia-dinh-bia-cung-tai-ban-2024.html,616.0
8935325015984,Trốn Lên Mái Nhà Để Khóc - Tặng Kèm Bookmark,3600,95000,Lam,Lam,Tiếng Việt,2023-01-01,1,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/tron-len-mai-nha-de-khoc-tang-kem-bookmark.html,208.0
8935212370189,Hồ Điệp Và Kình Ngư,87,155000,Tuế Kiến,Diệp Châu,Tiếng Việt,2024-01-01,0,Bìa Mềm,0.0,Văn Học,https://www.fahasa.com/ho-diep-va-kinh-ngu.html,272.0
