Thể loại,Ngôn ngữ,Số lượng,Phần trăm
Báo - Tạp Chí,Tiếng Việt,61,3.63
Chính Trị - Pháp Lý - Triết Học,Tiếng Việt,85,5.06
Giáo Khoa - Tham Khảo,Tiếng Anh,1,0.06
Giáo Khoa - Tham Khảo,Tiếng Việt,47,2.8
Giáo Trình,Tiếng Việt,24,1.43
Khoa Học Kỹ Thuật,Tiếng Việt,91,5.42
Kinh Tế,Tiếng Trung,1,0.06
Kinh Tế,Tiếng Việt,85,5.06
Làm Vườn - Thú Nuôi,Tiếng Việt,3,0.18
Lịch Sử - Địa Lý - Tôn Giáo,Tiếng Việt,88,5.24
Manga - Comic,Tiếng Việt,97,5.78
Nuôi Dạy Con,Tiếng Việt,86,5.12
Nữ Công Gia Chánh,Tiếng Việt,76,4.53
Phong Thủy - Kinh Dịch,Tiếng Việt,87,5.18
Sách Học Ngoại Ngữ,Song Ngữ Nhật - Việt,2,0.12
Sách Học Ngoại Ngữ,Tiếng Anh,5,0.3
Sách Học Ngoại Ngữ,Tiếng Trung,1,0.06
Sách Học Ngoại Ngữ,Tiếng Việt,72,4.29
Thiếu Nhi,Song Ngữ Anh - Việt,2,0.12
Thiếu Nhi,Tiếng Việt,88,5.24
Thể Dục Thể Thao - Giải Trí,Tiếng Việt,72,4.29
Tiểu Sử Hồi Ký,Tiếng Việt,92,5.48
Tâm Lý - Kỹ Năng Sống,Tiếng Việt,97,5.78
Từ Điển,Song Ngữ Anh - Việt,2,0.12
Từ Điển,Tiếng Trung,2,0.12
Từ Điển,Tiếng Việt,87,5.18
Văn Hóa - Nghệ Thuật - Du Lịch,Tiếng Anh,1,0.06
Văn Hóa - Nghệ Thuật - Du Lịch,Tiếng Việt,83,4.94
Văn Học,Tiếng Trung,1,0.06
Văn Học,Tiếng Việt,94,5.6
Âm Nhạc - Mỹ Thuật - Thời Trang,Tiếng Việt,68,4.05
Đam Mỹ,Tiếng Việt,78,4.65
