Mã sách,Tên sách,Lượt bán,Giá,Tác giả,Người dịch,Ngôn ngữ,Năm xuất bản,Xu hướng,Hình thức,Ratings,Thể loại,Link,Số trang
8936214272648,Góc Nhỏ Có Nắng,10k+,68.000 đ,Little Rainbow,N/A,Tiếng Việt,2024,Trending,Bìa Mềm,5.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/goc-nho-co-nang.html,64
8932000134749,Nếu Biết Trăm Năm Là Hữu Hạn - Ấn Bản Kỉ Niệm 10 Năm Xuất Bản (Tái Bản 2024),1.9k,159.000 đ,Phạm Lữ Ân,N/A,Tiếng Việt,2024,Trending,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/neu-biet-tram-nam-la-huu-han-an-ban-ki-niem-10-nam-xuat-ban-tai-ban-2024.html,263
8934974182375,Người Đàn Ông Mang Tên OVE (Tái Bản),2.5k,160.000 đ,Fredrik Backman,Hoàng Anh,Tiếng Việt,2022,Trending,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/nguoi-dan-ong-mang-ten-ove-tai-ban.html,452
8935235228351,Cây Cam Ngọt Của Tôi,2.9k,108.000 đ,José Mauro de Vasconcelos,"Nguyễn Bích Lan, Tô Yến Ly",N/A,2020,Trending,Bìa Mềm,4.4/5 (0 đánh giá),Văn Học,https://www.fahasa.com/cay-cam-ngot-cua-toi.html,244
8936213491613,Hà Thanh Hải Yến - Ngang Qua Ngõ Nhỏ Bình An,190,196.000 đ,Quất Tử Bất Toan,Lục Bích,Tiếng Việt,2024,Trending,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ha-thanh-hai-yen-ngang-qua-ngo-nho-binh-an.html,324
8934974207917,Tiếng Gọi Chân Trời,258,95.000 đ,Nguyễn Ngọc Tư,N/A,N/A,2025,Trending,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/tieng-goi-chan-troi.html,152
8935352626320,Cô Nàng Shimotsuki Trót Phải Lòng Nhân Vật Nền - Tập 5 - Bản Giới Hạn - Tặng Kèm Bookmark + Thiệp Kỉ Niệm + Bìa Áo Limited,102,115.000 đ,"Kagami Yagami, Roha",Tifa,Tiếng Việt,2025,Trending,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/co-nang-shimotsuki-trot-phai-long-nhan-vat-nen-tap-5-ban-gioi-han-tang-kem-bookmark-thiep-ki-niem-bia-ao-limited.html,300
8935235226272,Nhà Giả Kim (Tái Bản 2020),3.1k,79.000 đ,Paulo Coelho,Lê Chu Cầu,N/A,2020,Trending,Bìa Mềm,4.95/5 (0 đánh giá),Văn Học,https://www.fahasa.com/nha-gia-kim-tai-ban-2020.html,227
8935244843545,Trường Ca Achilles,2.9k,156.000 đ,Madeline Miller,N/A,N/A,2020,Trending,Bìa Mềm,4.95/5 (0 đánh giá),Văn Học,https://www.fahasa.com/truong-ca-achilles.html,444
8935352615485,[Light Novel] Dược Sư Tự Sự - Tập 5 - Tặng Kèm Bookmark,1.0k,125.000 đ,"Natsu Hyuuga, Touko Shino",Hoàng Ly,Tiếng Việt,2024,Bestseller,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/light-novel-duoc-su-tu-su-tap-5-tang-kem-bookmark.html,468
8935095633982,Không Gia Đình - Bìa Cứng (Tái Bản 2024),492,215.000 đ,Hector Malot,Như Phong,Tiếng Việt,2024,Bestseller,Bìa Cứng,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/khong-gia-dinh-bia-cung-tai-ban-2024.html,616
8935325015984,Trốn Lên Mái Nhà Để Khóc - Tặng Kèm Bookmark,3.6k,95.000 đ,Lam,N/A,Tiếng Việt,2023,Bestseller,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/tron-len-mai-nha-de-khoc-tang-kem-bookmark.html,208
8935212370189,Hồ Điệp Và Kình Ngư,87,155.000 đ,Tuế Kiến,Diệp Châu,N/A,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/ho-diep-va-kinh-ngu.html,272
8935352621844,[Light Novel] Thiên Sứ Nhà Bên - Tập 9 - Bản Giới Hạn - Tặng Kèm Bookmark + Postcard 2 Mặt + Standee Bập Bênh,937,95.000 đ,"Saekisan, Hanekoto",Trân Trân,Tiếng Việt,2025,Bestseller,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/light-novel-thien-su-nha-ben-tap-9-ban-gioi-han-tang-kem-bookmark-postcard-2-mat-standee-bap-benh.html,324
8935095633104,Hai Số Phận - Bìa Cứng (Tái Bản 2023),1.5k,235.000 đ,Jeffrey Archer,Nguyễn Việt Hải,Tiếng Việt,2023,Bestseller,Bìa Cứng,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/hai-so-phan-bia-cung-tai-ban-2023.html,768
8935325006289,Tô Bình Yên Vẽ Hạnh Phúc (Tái Bản 2022),6.1k,88.000 đ,Kulzsc,N/A,N/A,2022,Bestseller,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/to-binh-yen-ve-hanh-phuc-tai-ban-2022.html,96
8935352602904,[Light Novel] Dược Sư Tự Sự - Tập 4 - Tặng Kèm Bookmark,413,125.000 đ,"Natsu Hyuuga, Touko Shino",Hoàng Ly,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/light-novel-duoc-su-tu-su-tap-4-tang-kem-bookmark.html,472
8935069924092,25 Độ Âm,1.1k,158.000 đ,Thảo Trang,N/A,N/A,2024,Bestseller,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/25-do-am.html,250
8935235241848,Tottochan Bên Cửa Sổ (Tái Bản 2024),665,120.000 đ,Kuroyanagi Tetsuko,Trương Thùy Lan,N/A,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/tottochan-ben-cua-so-tai-ban-2024.html,360
8935095631537,Người Bà Tài Giỏi Vùng Saga,1.1k,128.000 đ,Yoshichi Shimada,Bảo Lam Anh,N/A,2021,No,Bìa Mềm,5.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/nguoi-ba-tai-gioi-vung-saga.html,216
9786043651591,Lén Nhặt Chuyện Đời,2.4k,85.000 đ,Mộc Trầm,N/A,Tiếng Việt,2022,Bestseller,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/len-nhat-chuyen-doi-404720.html,213
8935212362139,Thép Đã Tôi Thế Đấy (Tái Bản 2023),508,139.000 đ,Nikolai AOstrovsky,N/A,Tiếng Việt,2023,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/thep-da-toi-the-day-tai-ban-2023.html,516
9786044806075,The Garden Of Youth - Vườn Thanh Xuân,505,169.000 đ,Đào Hoàng Diệu,N/A,N/A,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/the-garden-of-youth-vuon-thanh-xuan.html,274
8935250715942,"[Light Novel] Văn Hào Lưu Lạc - Tập 7 - Dazai, Chuya, Tuổi 15 - Bản Đặc Biệt - Tặng Kèm Card",42,85.000 đ,"Asagiri Kafka, Harukawa Sango",Ngân Hà,Tiếng Việt,2025,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/light-novel-van-hao-luu-lac-tap-7-dazai-chuya-tuoi-15-ban-dac-biet-tang-kem-card.html,204
8935325026447,Món Hàng Hiệu Mang Tên “Tôi”,49,115.000 đ,Gari,N/A,Tiếng Việt,2025,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/mon-hang-hieu-mang-ten-toi.html,240
9786044806075,The Garden Of Youth - Vườn Thanh Xuân,505,169.000 đ,Đào Hoàng Diệu,N/A,N/A,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/the-garden-of-youth-vuon-thanh-xuan.html,274
9786044151243,Lớp Có Tang Sự Không Cần Điểm Danh,417,265.000 đ,Doo Vandenis,N/A,Tiếng Việt,2024,Bestseller,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/lop-co-tang-su-khong-can-diem-danh.html,488
8935325000379,Thương,1.7k,75.000 đ,Nhiều Tác Giả,N/A,Tiếng Việt,2021,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/thuong-356032.html,168
8936228540382,Sách Tô Màu - Lạc Vào Thế Giới Chibi,316,88.000 đ,H!koro Studio,N/A,Tiếng Việt,2024,No,Bìa Mềm,0.0/5 (0 đánh giá),Văn Học,https://www.fahasa.com/sach-to-mau-lac-vao-the-gioi-chibi.html,64
